iter	Logloss
0	0.4985139535
1	0.3697581136
2	0.2677651015
3	0.1927441569
4	0.1459229687
5	0.1068489691
6	0.07880123509
7	0.05821787992
8	0.04439560966
9	0.03428579389
10	0.02718771579
11	0.02155146045
12	0.017400506
13	0.01451390626
14	0.01209076365
15	0.01029091626
16	0.008901897972
17	0.007934496263
18	0.0069862285
19	0.006320595391
20	0.005685216214
21	0.005261050798
22	0.004896440578
23	0.004603024885
24	0.00435111708
25	0.004122186966
26	0.003946998841
27	0.00379858481
28	0.003676348202
29	0.003564700128
30	0.003452356673
31	0.00336861006
32	0.003299859819
33	0.003233554689
34	0.003181868903
35	0.003114416642
36	0.003072578014
37	0.003013293255
38	0.002904871223
39	0.002879389325
40	0.00283103934
41	0.002813274321
42	0.002777343913
43	0.002758555346
44	0.002721950577
45	0.002699978246
46	0.002670770215
47	0.002634456486
48	0.002607980309
49	0.002587302129
50	0.002566012533
51	0.002543853046
52	0.002524845129
53	0.002503779731
54	0.002484224777
55	0.002472715898
56	0.002444018435
57	0.00241902893
58	0.002406788561
59	0.002392551712
60	0.00238142699
61	0.002367885234
62	0.002353618013
63	0.002336173584
64	0.002323362198
65	0.002310081303
66	0.002293112436
67	0.002283137026
68	0.00226339237
69	0.002249816999
70	0.002236207754
71	0.002222931306
72	0.002208585177
73	0.002195229797
74	0.002188004317
75	0.002168572353
76	0.002145941089
77	0.002138923401
78	0.002121114952
79	0.002109160028
80	0.002097888811
81	0.002081735601
82	0.002071862331
83	0.002064672297
84	0.002054159075
85	0.002040911297
86	0.002030728219
87	0.002023427069
88	0.00201607752
89	0.002005645475
90	0.0019913026
91	0.001983605429
92	0.001973450602
93	0.001960734246
94	0.001946220802
95	0.001934939459
96	0.001927258856
97	0.001918974142
98	0.001911908666
99	0.001904034736
100	0.00189731126
101	0.001890835293
102	0.00188203667
103	0.001867225403
104	0.001857896568
105	0.001848451722
106	0.00183466287
107	0.0018280966
108	0.001823306149
109	0.001808866191
110	0.001801571421
111	0.001794622813
112	0.001787957824
113	0.001772211416
114	0.001765665273
115	0.001758857042
116	0.001750689592
117	0.001730458353
118	0.001726175524
119	0.001716448197
120	0.001707166116
121	0.001701296075
122	0.001694825316
123	0.001689207198
124	0.001672568374
125	0.001666678757
126	0.001656804289
127	0.00165099213
128	0.001641844131
129	0.001635821379
130	0.001623970404
131	0.001618977529
132	0.001609954995
133	0.001596454277
134	0.001592679841
135	0.001589087105
136	0.001582309897
137	0.001567404958
138	0.001559501824
139	0.001552157199
140	0.001543917599
141	0.001528729386
142	0.00152173004
143	0.001518553868
144	0.001512285978
145	0.001499431015
146	0.001492016598
